id,source,headline,url
64,News24,"টিকলো মেসিদের গোল, মিসরেরটা বাতিল, একেবারে সঠিক সিদ্ধান্ত বলে এলো যে ব্যাখ্যা",https://www.news24bd.tv/details/289940
65,News24,"রেফারিং নিয়ে বিস্ফোরক মন্তব্য ভাইরাল, বিপদে পড়ার ভয় পাচ্ছেন সালাহ",https://www.news24bd.tv/details/289938
66,News24,"শেষ পর্যন্ত দুঃসংবাদ, তদন্তের মুখে আর্জেন্টিনা ফুটবল অ্যাসোসিয়েশন",https://www.news24bd.tv/details/289931
67,News24,নতুন বিতর্কে জড়ানো কে এই ফুটবল বস ইনফ্যান্তিনো?,https://www.news24bd.tv/details/289926
68,News24,"আর্জেন্টিনা ছাড়াও যাদের পক্ষে পক্ষপাতিত্বের অভিযোগ, চটেছেন কোচ-খেলোয়াড়রা",https://www.news24bd.tv/details/289924
69,News24,"বিশ্বকাপে গোল হজম করেনি ১টি দল, কোন দল কতটি হজম করলো?",https://www.news24bd.tv/details/289923
70,News24,"বিশ্বকাপ জিতবে কোন দেশ, সবশেষ ভবিষ্যদ্বাণীতে যা বলল সুপার কম্পিউটার",https://www.news24bd.tv/details/289918
71,News24,র‌্যাংকিংয়ে শীর্ষ ১৫ দলের কাউকেই পায়নি আর্জেন্টিনা,https://www.news24bd.tv/details/289913
72,News24,এই বিশ্বকাপে যা যা করেছেন মেসি,https://www.news24bd.tv/details/289909
73,News24,আর্জেন্টিনা-মিশর ম্যাচের বিতর্কে কিংবদন্তিদের প্রতিক্রিয়া,https://www.news24bd.tv/details/289900
74,News24,দুঃসংবাদ পেলো আর্জেন্টিনা,https://www.news24bd.tv/details/289897
75,News24,শেষ আটের আগে বিশ্বকাপ জয়ের গাণিতিক সম্ভাবনায় এগিয়ে যারা,https://www.news24bd.tv/details/289895
76,News24,রেফারির পক্ষপাতিত্বের অভিযোগ নিয়ে যা বললেন মেসি,https://www.news24bd.tv/details/289888
77,News24,যে কারণে হঠাৎ রক্তচাপ মাপার ছবি পোস্ট করলেন মার্টিনেজ,https://www.news24bd.tv/details/289879
78,News24,মেসি কেন সর্বকালের সেরা ফুটবলার,https://www.news24bd.tv/details/289877
79,News24,ফিফার বিরুদ্ধে তদন্তের দাবি,https://www.news24bd.tv/details/289875
80,News24,"ফিফার পাওয়ার র‍্যাঙ্কিংয়ে কে শীর্ষে? হালান্ড, মেসি নাকি এমবাপ্পে",https://www.news24bd.tv/details/289870
81,News24,"মেসি-এমবাপ্পে-হালান্ড, গোল্ডেন বুটের লড়াইয়ে কে শীর্ষে?",https://www.news24bd.tv/details/289868
82,News24,আর্জেন্টিনার বিপক্ষে ম্যাচ নিয়ে আনুষ্ঠানিক বিবৃতি দিল মিশর,https://www.news24bd.tv/details/289865
83,News24,আর্জেন্টিনা-মিসর ম্যাচের রেফারিং নিয়ে নিউইয়র্ক টাইমসের বিশ্লেষণ,https://www.news24bd.tv/details/289862
84,News24,আর্জেন্টিনার লড়াইয়ে মুগ্ধ ব্রাজিল কিংবদন্তি রিভালদো,https://www.news24bd.tv/details/289853
85,News24,মনে হচ্ছিল পুরো দলকে ডুবালাম: মেসি,https://www.news24bd.tv/details/289834
86,News24,"আর্জেন্টিনার ম্যাচে ছিল ৩ ফরাসি, এবার ফ্রান্সের ম্যাচে ৫ আর্জেন্টাইন রেফারি",https://www.news24bd.tv/details/289827
87,News24,‘সবাই দেখেছে কী হয়েছে’—রেফারিং বিতর্কে মন্তব্য সালাহর,https://www.news24bd.tv/details/289822
88,News24,আর্জেন্টিনা অপরাজেয় নয়: সুইস কোচ,https://www.news24bd.tv/details/289813
89,News24,আর্জেন্টিনা সমর্থকদের হামলায় ব্রাজিল সমর্থকের মৃত্যু,https://www.news24bd.tv/details/289812
90,News24,"মিসরের বিপক্ষে ৩ বিতর্কিত সিদ্ধান্ত আর্জেন্টিনার পক্ষে, নিয়ম বলছে সবই ছিল সঠিক",https://www.news24bd.tv/details/289806
91,News24,টাইব্রেকারে কলম্বিয়াকে হারিয়ে কোয়ার্টারে সুইজারল্যান্ড,https://www.news24bd.tv/details/289805
92,News24,মিশরীয় তারকার ক্ষুব্ধ প্রতিক্রিয়া: এটা পাতানো ম্যাচ,https://www.news24bd.tv/details/289801
93,News24,দুই কর্মকর্তাকে বরখাস্ত করল ফিফা,https://www.news24bd.tv/details/289800
94,News24,"কোয়ার্টার ফাইনালে আর্জেন্টিনার প্রতিপক্ষ চূড়ান্ত, কবে-কখন ম্যাচ?",https://www.news24bd.tv/details/289797
95,News24,ফিফা প্রেসিডেন্ট ও রেফারিদের ভূমিকা নিয়ে প্রশ্ন তুললেন ইইউ আইনপ্রণেতারা,https://www.news24bd.tv/details/289796
96,News24,রেফারির বিরুদ্ধে ফিফার কাছে ফিক্সিংয়ের অভিযোগ দিলো মিশর,https://www.news24bd.tv/details/289790
97,News24,"কোয়ার্টার ফাইনালের ৪ ম্যাচ কখন, কে কার মুখোমুখি?",https://www.news24bd.tv/details/289783
98,News24,আমরা অবিচারের শিকার হয়েছি: মিসরের কোচ,https://www.news24bd.tv/details/289776
99,News24,"বিশ্বকাপে আর্জেন্টিনার পরের ম্যাচ কবে, কখন?",https://www.news24bd.tv/details/289768
100,News24,লজ্জার রেকর্ডের পর ৯৬ বছরের পুরোনো কীর্তি ছুঁলেন মেসি,https://www.news24bd.tv/details/289766
101,News24,যে কারণে বাতিল হয়েছিল মিশরের দুর্দান্ত গোলটি,https://www.news24bd.tv/details/289765
102,News24,অবিশ্বাস্য কামব্যাকে মিশরের হৃদয় ভেঙে কোয়ার্টারে আর্জেন্টিনা,https://www.news24bd.tv/details/289763
103,News24,রোমেরোর গোলে ম্যাচে ফিরল আর্জেন্টিনা,https://www.news24bd.tv/details/289762
104,News24,১-০ গোলে এগিয়ে বিরতিতে মিসর,https://www.news24bd.tv/details/289760
105,News24,বিশ্বকাপে লজ্জার রেকর্ড গড়লেন মেসি!,https://www.news24bd.tv/details/289758
106,News24,মিশরের বিরুদ্ধে পেনাল্টি মিস করলেন মেসি,https://www.news24bd.tv/details/289756
107,News24,১৫ মিনিটেই আর্জেন্টিনার জালে মিসরের গোল,https://www.news24bd.tv/details/289754
108,News24,সরকারি জমিতে ১০তলা মার্কেট ইস্টার্ন হাউজিংয়ের,https://www.news24bd.tv/details/289750
